mean,sd,min,max,cv,n,region_id,indicator
362364,8313.277465730482,345580,369960,0.022941786341166566,10,FRI2,pop_tot_total
901561,29551.121599319675,866420,943810,0.03277772840586458,10,FRI3,pop_tot_total
1556507,47686.68718252972,1496990,1624910,0.030636988579254523,10,FRJ1,pop_tot_total
1759759,53137.03237855874,1685930,1838830,0.030195630412209136,10,FRJ2,pop_tot_total
707666,18012.51675918721,681280,731140,0.02545341553668992,10,FRK1,pop_tot_total
3889541,63748.94882793493,3788770,3973470,0.016389838499693134,10,FRK2,pop_tot_total
2666368,62692.80479714824,2563210,2744110,0.023512435191672055,10,FRL0,pop_tot_total
159708,2903.3230003643143,154910,164130,0.01817894532749965,10,FRM0,pop_tot_total
206688,8399.518240153222,197530,225280,0.040638635238394206,10,FRY1,pop_tot_total
171661,11821.04944579795,154320,194230,0.06886275534802867,10,FRY2,pop_tot_total
193951,9116.933512243395,181470,205960,0.04700637538472808,10,FRY3,pop_tot_total
511540,19623.21471002026,491860,555800,0.03836105624197572,10,FRY4,pop_tot_total
707209,40118.02378261201,654750,771080,0.056727252880848525,10,HR03,pop_tot_total
1975144,28689.272559617122,1936350,2021680,0.014525154904967497,10,ITC1,pop_tot_total
58693,1578.0793530252033,56270,61110,0.026887011279457574,10,ITC2,pop_tot_total
668324,9106.100763285629,655830,684910,0.013625278702075085,10,ITC3,pop_tot_total
4754389,150531.49566711206,4570980,4977240,0.031661585887715976,10,ITC4,pop_tot_total
631407,29423.953601709538,600690,686790,0.04660061355307993,10,ITF1,pop_tot_total
155948,10377.966831492358,143250,169650,0.06654761094398362,10,ITF2,pop_tot_total
3421691,189749.6611883961,3211970,3727450,0.0554549376867742,10,ITF3,pop_tot_total
2198578,100513.28389819925,2081830,2384150,0.045717406386400324,10,ITF4,pop_tot_total
298474,17832.158341353723,279650,331890,0.059744427793890664,10,ITF5,pop_tot_total
1046756,82961.07148670527,953730,1184290,0.07925540573610781,10,ITF6,pop_tot_total
2769274,191876.87500061074,2572120,3098750,0.06928778986861205,10,ITG1,pop_tot_total
736702,43978.000510356185,693280,818370,0.059695779990221534,10,ITG2,pop_tot_total
300349,5742.000135454157,291710,309340,0.019117760123903052,10,ITH1,pop_tot_total
283085,5505.904406483401,275760,289160,0.019449650834496356,10,ITH2,pop_tot_total
2360308,52218.186657311046,2291760,2427710,0.022123462979115882,10,ITH3,pop_tot_total
534152,16243.593472162767,515840,558730,0.030410058320782786,10,ITH4,pop_tot_total
2006092,82894.77839070713,1904320,2127830,0.041321523833755945,10,ITH5,pop_tot_total
1651200,34535.29338066913,1608250,1705070,0.020915269731509888,10,ITI1,pop_tot_total
397767,4621.704952359753,392710,407820,0.011619126152646533,10,ITI2,pop_tot_total
719522,6852.744462379045,713080,736380,0.009524023535595916,10,ITI3,pop_tot_total
2734671,46453.80177002619,2669340,2821860,0.016986980068178656,10,ITI4,pop_tot_total
585770,48742.15218883959,527400,668650,0.08321039348010241,10,CY00,pop_tot_total
943006,144873.30635190642,828830,1245030,0.15362925193679194,10,LV00,pop_tot_total
380782,53344.70437114114,322950,499260,0.14009250534726206,10,LT01,pop_tot_total
1185644,185003.40628695942,979060,1501950,0.15603621853352223,10,LT02,pop_tot_total
377029,15372.821218703553,347030,391320,0.04077357767891476,10,LU00,pop_tot_total
920162,63869.8003406583,830420,1031240,0.06941147356732652,10,HU11,pop_tot_total
683406,34938.83519014972,640240,740470,0.05112456605612143,10,HU12,pop_tot_total
580003,56243.41483429169,517480,671400,0.09697090331307198,10,HU21,pop_tot_total
507121,41825.41185292342,452940,569510,0.08247619769822867,10,HU22,pop_tot_total
495298,47941.69231704511,440840,570550,0.09679363194893803,10,HU23,pop_tot_total
672075,57009.157207904376,600040,759820,0.0848255882273621,10,HU31,pop_tot_total
901838,69599.80201121264,821000,1002640,0.07717550381688579,10,HU32,pop_tot_total
694957,70934.25893036454,609830,806810,0.10206999703631237,10,HU33,pop_tot_total
305327,10145.805975322459,294470,322840,0.0332293114441974,10,MT00,pop_tot_total
536320,16009.519390384932,522900,574100,0.02985068502085496,10,NL11,pop_tot_total
