STRUCTURE,STRUCTURE_ID,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CY,2014,-3.5,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CY,2015,-0.5,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CY,2016,2.5,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CY,2017,6.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CY,2018,9.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CY,2019,10.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CY,2020,9.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CY,2021,13.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CY,2022,17.5,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CY,2023,14.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CY,2024,13.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CZ,2010,1.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CZ,2011,1.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CZ,2012,1.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CZ,2013,-0.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CZ,2014,2.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CZ,2015,1.5,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CZ,2016,1.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CZ,2017,2.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CZ,2018,3.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CZ,2019,4.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CZ,2020,2.5,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CZ,2021,4.8,b,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CZ,2022,30.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CZ,2023,8.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,CZ,2024,3.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE,2010,1.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE,2011,3.7,b,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE,2012,4.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE,2013,5.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE,2014,7.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE,2015,14.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE,2016,5.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE,2017,5.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE,2018,4.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE,2019,3.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE,2020,2.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE,2021,3.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE,2022,2.5,b,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE,2023,8.1,b,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE,2024,5.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE_TOT,2010,1.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE_TOT,2011,3.7,b,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE_TOT,2012,4.9,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE_TOT,2013,5.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE_TOT,2014,7.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE_TOT,2015,14.3,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE_TOT,2016,5.6,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE_TOT,2017,5.1,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE_TOT,2018,4.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE_TOT,2019,3.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE_TOT,2020,2.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE_TOT,2021,3.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE_TOT,2022,2.5,b,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE_TOT,2023,8.1,b,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DE_TOT,2024,5.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DK,2010,3.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DK,2011,2.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DK,2012,3.0,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DK,2013,3.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DK,2014,4.8,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DK,2015,7.4,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DK,2016,5.7,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DK,2017,4.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DK,2018,3.2,,
dataflow,ESTAT:DEMO_GIND(1.0),A,CNMIGRATRT,DK,2019,1.6,,
