STRUCTURE,STRUCTURE_ID,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,1998,1.1,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,1999,1.4,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2000,2.5,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2001,2.4,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2002,0.9,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2003,0.9,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2004,0.9,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2005,1.8,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2006,1.7,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2007,1.1,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2008,0.0,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2009,-3.0,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2010,2.3,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2011,2.5,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2012,0.8,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2013,0.4,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2014,1.0,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2015,0.7,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2016,1.4,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2017,2.0,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2018,0.4,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2019,0.7,,
dataflow,ESTAT:NAMA_10_LP_ULC(1.0),A,PCH_PRE,RLPR_HW,DE,2020,0.9,,
